Field name,Is local?,Source code line,Containing class,A method that uses it,Ordered recommendations
map,false,227,com.thoughtworks.xstream.io.binary.BinaryStreamReader$IdRegistry,put,Changes the type from java.util.Map to unifiedMap(EclipseCollections)<hashedMap(ApacheCommonsCollections)<linkedHashMap<hashMap<treeMap<concurrentHashMap<concurrentHashMap(EclipseCollections)<hashtable<synchronizedUnifiedMap(EclipseCollections)<staticBucketMap(ApacheCommonsCollections)<synchronizedHashMap<synchronizedLinkedHashMap<concurrentSkipListMap<synchronizedTreeMap
java2Attribute,false,67,com.thoughtworks.xstream.io.naming.StaticNameCoder,encodeAttribute,Changes the type from java.util.Map to unifiedMap(EclipseCollections)<linkedHashMap<treeMap<synchronizedUnifiedMap(EclipseCollections)<concurrentSkipListMap<hashMap<hashedMap(ApacheCommonsCollections)<synchronizedLinkedHashMap<synchronizedTreeMap<hashtable<synchronizedHashMap<concurrentHashMap<concurrentHashMap(EclipseCollections)<staticBucketMap(ApacheCommonsCollections)
attribute2Java,false,55,com.thoughtworks.xstream.io.naming.StaticNameCoder,decodeAttribute,Changes the type from java.util.Map to unifiedMap(EclipseCollections)<linkedHashMap<treeMap<synchronizedUnifiedMap(EclipseCollections)<concurrentSkipListMap<hashMap<hashedMap(ApacheCommonsCollections)<synchronizedLinkedHashMap<synchronizedTreeMap<hashtable<synchronizedHashMap<concurrentHashMap<concurrentHashMap(EclipseCollections)<staticBucketMap(ApacheCommonsCollections)
java2Node,false,73,com.thoughtworks.xstream.io.naming.StaticNameCoder,encodeNode,Changes the type from java.util.Map to unifiedMap(EclipseCollections)<linkedHashMap<treeMap<synchronizedUnifiedMap(EclipseCollections)<concurrentSkipListMap<hashMap<hashedMap(ApacheCommonsCollections)<synchronizedLinkedHashMap<synchronizedTreeMap<hashtable<synchronizedHashMap<concurrentHashMap<concurrentHashMap(EclipseCollections)<staticBucketMap(ApacheCommonsCollections)
node2Java,false,61,com.thoughtworks.xstream.io.naming.StaticNameCoder,decodeNode,Changes the type from java.util.Map to unifiedMap(EclipseCollections)<linkedHashMap<treeMap<synchronizedUnifiedMap(EclipseCollections)<concurrentSkipListMap<hashMap<hashedMap(ApacheCommonsCollections)<synchronizedLinkedHashMap<synchronizedTreeMap<hashtable<synchronizedHashMap<concurrentHashMap<concurrentHashMap(EclipseCollections)<staticBucketMap(ApacheCommonsCollections)
qnameToJava,false,42,com.thoughtworks.xstream.io.xml.QNameMap,getJavaClassName,Changes the type from java.util.Map to unifiedMap(EclipseCollections)<linkedHashMap<treeMap<hashedMap(ApacheCommonsCollections)<hashMap<synchronizedUnifiedMap(EclipseCollections)<concurrentHashMap<hashtable<concurrentHashMap(EclipseCollections)<synchronizedLinkedHashMap<concurrentSkipListMap<synchronizedHashMap<staticBucketMap(ApacheCommonsCollections)<synchronizedTreeMap
javaToQName,false,56,com.thoughtworks.xstream.io.xml.QNameMap,getQName,Changes the type from java.util.Map to unifiedMap(EclipseCollections)<linkedHashMap<treeMap<hashedMap(ApacheCommonsCollections)<hashMap<synchronizedUnifiedMap(EclipseCollections)<hashtable<concurrentHashMap<synchronizedLinkedHashMap<concurrentSkipListMap<concurrentHashMap(EclipseCollections)<synchronizedHashMap<staticBucketMap(ApacheCommonsCollections)<synchronizedTreeMap
elementStack,false,682,com.thoughtworks.xstream.io.xml.SaxWriter,flushStartTag,Changes the type from java.util.List to treeList(ApacheCommonsCollections)<fastList(EclipseCollections)<arrayList<copyOnWriteArrayList<vector<synchronizedArrayList<synchronizedFastList(EclipseCollections)<nodeCachingLinkedList(ApacheCommonsCollections)<linkedList<synchronizedLinkedList
properties,false,285,com.thoughtworks.xstream.io.xml.SaxWriter,setProperty,Changes the type from java.util.Map to unifiedMap(EclipseCollections)<linkedHashMap<treeMap<hashedMap(ApacheCommonsCollections)<hashMap<synchronizedUnifiedMap(EclipseCollections)<concurrentSkipListMap<synchronizedLinkedHashMap<synchronizedTreeMap<hashtable<synchronizedHashMap<concurrentHashMap<concurrentHashMap(EclipseCollections)<staticBucketMap(ApacheCommonsCollections)
features,false,183,com.thoughtworks.xstream.io.xml.SaxWriter,setFeature,Changes the type from java.util.Map to unifiedMap(EclipseCollections)<linkedHashMap<treeMap<hashedMap(ApacheCommonsCollections)<hashMap<synchronizedUnifiedMap(EclipseCollections)<concurrentHashMap<hashtable<concurrentHashMap(EclipseCollections)<synchronizedLinkedHashMap<concurrentSkipListMap<synchronizedHashMap<staticBucketMap(ApacheCommonsCollections)<synchronizedTreeMap
unescapeCache,false,213,com.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,decodeName,Changes the type from java.util.Map to unifiedMap(EclipseCollections)<linkedHashMap<treeMap<hashedMap(ApacheCommonsCollections)<hashMap<synchronizedUnifiedMap(EclipseCollections)<concurrentHashMap<hashtable<concurrentHashMap(EclipseCollections)<synchronizedLinkedHashMap<concurrentSkipListMap<synchronizedHashMap<staticBucketMap(ApacheCommonsCollections)<synchronizedTreeMap
escapeCache,false,160,com.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder,encodeName,Changes the type from java.util.Map to unifiedMap(EclipseCollections)<linkedHashMap<treeMap<hashedMap(ApacheCommonsCollections)<hashMap<synchronizedUnifiedMap(EclipseCollections)<concurrentHashMap<hashtable<concurrentHashMap(EclipseCollections)<synchronizedLinkedHashMap<concurrentSkipListMap<synchronizedHashMap<staticBucketMap(ApacheCommonsCollections)<synchronizedTreeMap
